"inchi","maccs_1","maccs_2","maccs_3","maccs_4","maccs_5","maccs_6","maccs_7","maccs_8","maccs_9","maccs_10","maccs_11","maccs_12","maccs_13","maccs_14","maccs_15","maccs_16","maccs_17","maccs_18","maccs_19","maccs_20","maccs_21","maccs_22","maccs_23","maccs_24","maccs_25","maccs_26","maccs_27","maccs_28","maccs_29","maccs_30","maccs_31","maccs_32","maccs_33","maccs_34","maccs_35","maccs_36","maccs_37","maccs_38","maccs_39","maccs_40","maccs_41","maccs_42","maccs_43","maccs_44","maccs_45","maccs_46","maccs_47","maccs_48","maccs_49","maccs_50","maccs_51","maccs_52","maccs_53","maccs_54","maccs_55","maccs_56","maccs_57","maccs_58","maccs_59","maccs_60","maccs_61","maccs_62","maccs_63","maccs_64","maccs_65","maccs_66","maccs_67","maccs_68","maccs_69","maccs_70","maccs_71","maccs_72","maccs_73","maccs_74","maccs_75","maccs_76","maccs_77","maccs_78","maccs_79","maccs_80","maccs_81","maccs_82","maccs_83","maccs_84","maccs_85","maccs_86","maccs_87","maccs_88","maccs_89","maccs_90","maccs_91","maccs_92","maccs_93","maccs_94","maccs_95","maccs_96","maccs_97","maccs_98","maccs_99","maccs_100","maccs_101","maccs_102","maccs_103","maccs_104","maccs_105","maccs_106","maccs_107","maccs_108","maccs_109","maccs_110","maccs_111","maccs_112","maccs_113","maccs_114","maccs_115","maccs_116","maccs_117","maccs_118","maccs_119","maccs_120","maccs_121","maccs_122","maccs_123","maccs_124","maccs_125","maccs_126","maccs_127","maccs_128","maccs_129","maccs_130","maccs_131","maccs_132","maccs_133","maccs_134","maccs_135","maccs_136","maccs_137","maccs_138","maccs_139","maccs_140","maccs_141","maccs_142","maccs_143","maccs_144","maccs_145","maccs_146","maccs_147","maccs_148","maccs_149","maccs_150","maccs_151","maccs_152","maccs_153","maccs_154","maccs_155","maccs_156","maccs_157"
"InChI=1S/C15H11N3O3/c19-15-9-16-13-3-1-2-4-14(13)17(15)10-11-5-7-12(8-6-11)18(20)21/h1-9H,10H2",1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,2,3,8,2,2,2,2,2,0,0,0,0,0,0,0,2,0,2,1,1,2,0,3,0,0,2,3,3,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,16,11,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,16,0,0,0,3,0,0,0,1,0,11,2,0,0,0
"InChI=1S/C15H11N3O3/c19-15(10-3-1-4-11(9-10)18(20)21)17-14-6-2-5-13-12(14)7-8-16-13/h1-9,16H,(H,17,19)",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,2,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,3,5,3,4,4,2,2,0,0,0,0,0,0,0,0,1,2,1,0,2,0,0,0,1,1,3,2,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,15,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,15,0,0,1,2,0,0,0,0,0,11,2,0,0,0
"InChI=1S/C15H11N3O3/c19-15(13-9-10-5-1-2-6-11(10)16-13)17-12-7-3-4-8-14(12)18(20)21/h1-9,16H,(H,17,19)",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,2,1,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,3,5,3,4,4,2,2,0,0,0,0,0,0,0,2,0,2,1,1,2,0,0,0,1,1,3,2,0,1,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0,0,15,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,15,0,0,1,2,0,0,0,0,0,11,2,0,0,0
"InChI=1S/C15H11N3O3/c19-15(14-8-10-4-1-2-7-13(10)17-14)16-11-5-3-6-12(9-11)18(20)21/h1-9,17H,(H,16,19)",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,2,1,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,3,5,3,4,4,2,2,0,0,0,0,0,0,0,1,1,2,1,1,2,0,0,0,1,1,3,2,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,15,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,15,0,0,1,2,0,0,0,0,0,11,2,0,0,0
"InChI=1S/C15H11N3O3/c19-15(11-6-5-10-7-8-16-13(10)9-11)17-12-3-1-2-4-14(12)18(20)21/h1-9,16H,(H,17,19)",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,2,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,3,5,3,4,4,2,2,0,0,0,0,0,0,0,1,0,2,1,0,2,0,0,0,1,1,3,2,0,1,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0,0,15,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,15,0,0,1,2,0,0,0,0,0,11,2,0,0,0
"InChI=1S/C15H11N3O3/c19-15(11-9-16-12-6-2-1-5-10(11)12)17-13-7-3-4-8-14(13)18(20)21/h1-9,16H,(H,17,19)",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,2,1,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,3,5,3,4,4,2,2,0,0,0,0,0,0,0,1,1,2,1,0,2,0,0,0,1,1,3,2,0,1,0,0,0,0,1,1,0,0,3,0,1,0,0,0,0,0,0,15,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,15,0,0,1,2,0,0,0,0,0,11,2,0,0,0
"InChI=1S/C15H11N3O3/c19-15(17-10-4-2-1-3-5-10)13-9-16-14-8-11(18(20)21)6-7-12(13)14/h1-9,16H,(H,17,19)",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,2,1,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,3,5,3,4,4,2,2,0,0,0,0,0,0,0,0,2,2,1,0,2,0,0,0,1,1,3,2,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,15,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,15,0,0,1,2,0,0,0,0,0,11,2,0,0,0
"InChI=1S/C15H11N3O3/c19-15(11-5-4-10-6-7-16-14(10)8-11)17-12-2-1-3-13(9-12)18(20)21/h1-9,16H,(H,17,19)",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,2,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,3,5,3,4,4,2,2,0,0,0,0,0,0,0,0,1,2,1,0,2,0,0,0,1,1,3,2,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,15,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,15,0,0,1,2,0,0,0,0,0,11,2,0,0,0
"InChI=1S/C15H11N3O3/c19-15-13(16-11-6-2-3-7-12(11)17-15)9-10-5-1-4-8-14(10)18(20)21/h1-8H,9H2,(H,17,19)",1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,2,3,5,2,2,2,2,2,0,0,0,0,0,0,0,2,0,2,1,1,2,0,0,3,1,2,3,3,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,16,11,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,16,0,0,0,3,0,0,0,1,0,11,2,0,0,0
"InChI=1S/C15H11N3O3/c1-10-16-14-8-7-12(18(20)21)9-13(14)15(19)17(10)11-5-3-2-4-6-11/h2-9H,1H3",1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2,3,5,2,2,4,2,2,0,1,0,0,0,0,1,0,1,2,1,0,2,0,0,0,0,2,3,3,2,0,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,2,0,16,7,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,16,0,0,0,3,0,0,0,1,1,11,2,0,0,0
"InChI=1S/C15H11N3O3/c16-15(19)10-6-7-13(18(20)21)11-8-12(17-14(10)11)9-4-2-1-3-5-9/h1-8,17H,(H2,16,19)",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,2,1,2,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,3,4,3,2,2,2,2,0,0,0,0,0,0,0,0,2,2,1,0,2,0,0,0,2,1,3,2,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,15,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,15,0,0,1,2,0,0,0,0,1,11,2,0,0,0
"InChI=1S/C15H11N3O3/c19-15-10-14(11-4-2-1-3-5-11)16-17(15)12-6-8-13(9-7-12)18(20)21/h1-10,16H",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,3,0,1,0,0,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,3,6,2,2,4,3,4,0,0,0,0,0,1,0,0,1,2,1,1,2,0,0,0,1,2,3,3,2,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,2,0,17,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,17,0,0,1,2,0,0,0,0,2,17,0,0,0,0
"InChI=1S/C15H11N3O3/c1-17-12-8-4-2-6-10(12)14(16-17)15(19)11-7-3-5-9-13(11)18(20)21/h2-9H,1H3",1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,3,0,0,0,0,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,3,7,2,2,2,2,2,0,0,0,0,0,1,0,0,1,2,0,1,2,0,0,0,0,2,3,3,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,15,9,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,15,0,0,1,2,0,0,0,0,0,9,2,0,0,0
"InChI=1S/C15H11N3O3/c19-15(11-5-3-4-10-8-9-16-14(10)11)17-12-6-1-2-7-13(12)18(20)21/h1-9,16H,(H,17,19)",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,2,1,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,3,5,3,4,4,2,2,0,0,0,0,0,0,0,1,1,2,1,0,2,0,0,0,1,1,3,2,0,1,0,0,0,0,1,1,0,0,3,0,1,0,0,0,0,0,0,15,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,15,0,0,1,2,0,0,0,0,0,11,2,0,0,0
"InChI=1S/C15H11N3O3/c16-15(19)11-6-10-7-12(9-4-2-1-3-5-9)17-14(10)13(8-11)18(20)21/h1-8,17H,(H2,16,19)",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,2,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,3,4,3,2,2,2,2,0,0,0,0,0,0,0,1,0,2,1,0,2,0,0,0,2,1,3,2,0,1,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0,0,15,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,15,0,0,1,2,0,0,0,0,1,11,2,0,0,0
"InChI=1S/C15H11N3O3/c19-15-12-3-1-2-9-6-10-7-11(18(20)21)4-5-13(10)17(8-16-15)14(9)12/h1-5,7H,6,8H2,(H,16,19)",1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,1,2,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,1,3,0,0,0,18,0,0,2,3,8,3,6,2,2,0,0,0,0,0,0,0,1,0,1,2,1,0,2,0,5,0,0,2,3,2,0,1,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,2,0,12,12,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,4,0,0,0,2,0,5,6,0,0,0
"InChI=1S/C15H11N3O3/c19-15-11-6-2-3-7-12(11)16-14(17-15)9-10-5-1-4-8-13(10)18(20)21/h1-8H,9H2,(H,16,17,19)",1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,2,3,4,2,2,2,1,0,0,1,0,0,0,0,1,0,1,2,1,0,2,0,0,6,0,2,3,2,2,1,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,2,0,16,9,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,16,0,0,0,3,0,0,0,1,0,9,2,0,0,0
"InChI=1S/C15H11N3O3/c1-10-11-6-2-3-7-12(11)15(19)17(16-10)13-8-4-5-9-14(13)18(20)21/h2-9H,1H3",1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,3,5,2,2,4,2,2,0,0,0,0,0,1,0,1,1,2,1,1,2,0,0,0,0,2,3,3,2,0,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,2,0,16,7,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,16,0,0,0,3,0,0,0,1,1,10,2,0,0,0
"InChI=1S/C15H11N3O3/c16-15(19)10-3-6-13-11(7-10)8-14(17-13)9-1-4-12(5-2-9)18(20)21/h1-8,17H,(H2,16,19)",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,2,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,3,4,3,2,2,2,2,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,2,1,3,2,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,15,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,15,0,0,1,2,0,0,0,0,1,11,2,0,0,0
"InChI=1S/C15H11N3O3/c19-15(13-9-16-14-7-2-1-6-12(13)14)17-10-4-3-5-11(8-10)18(20)21/h1-9,16H,(H,17,19)",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,2,1,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,3,5,3,4,4,2,2,0,0,0,0,0,0,0,0,2,2,1,0,2,0,0,0,1,1,3,2,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,15,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,15,0,0,1,2,0,0,0,0,0,11,2,0,0,0
"InChI=1S/C15H11N3O3/c1-10-13(6-3-8-16-10)17-9-7-11-12(15(17)19)4-2-5-14(11)18(20)21/h2-9H,1H3",1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2,3,6,2,2,4,2,2,0,0,0,0,0,0,0,1,0,2,1,0,2,0,0,0,0,2,3,3,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,16,6,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,16,0,0,0,3,0,0,0,2,1,10,2,0,0,0
"InChI=1S/C15H11N3O3/c19-14-7-6-13(18(20)21)10-17(14)9-12-4-1-3-11-5-2-8-16-15(11)12/h1-8,10H,9H2",1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,2,3,8,2,2,2,2,2,0,0,0,0,0,0,0,1,1,2,1,0,2,0,3,0,0,2,3,3,2,0,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,2,0,16,11,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,16,0,0,0,3,0,0,0,2,0,11,2,0,0,0
"InChI=1S/C15H11N3O3/c19-15-10-12(11-6-2-1-3-7-11)16-17(15)13-8-4-5-9-14(13)18(20)21/h1-10,16H",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,3,0,1,0,0,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,3,6,2,2,4,3,4,0,0,0,0,0,1,0,1,2,2,1,1,2,0,0,0,1,2,3,3,2,0,0,0,0,0,1,1,0,0,3,0,1,0,0,0,0,2,0,17,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,17,0,0,1,2,0,0,0,0,2,17,0,0,0,0
"InChI=1S/C15H11N3O3/c1-9-5-6-13-12(7-9)15(19)17-14(16-13)10-3-2-4-11(8-10)18(20)21/h2-8H,1H3,(H,16,17,19)",1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,3,4,2,2,2,1,0,0,1,0,0,0,0,1,0,1,2,1,0,2,0,0,0,0,2,3,2,2,1,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,2,0,16,7,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,16,0,0,0,3,0,0,0,1,1,9,2,0,0,0
"InChI=1S/C15H11N3O3/c1-9-6-7-10(8-13(9)18(20)21)14-11-4-2-3-5-12(11)15(19)17-16-14/h2-8H,1H3,(H,17,19)",1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,3,3,2,2,2,1,0,0,0,0,0,0,1,0,0,0,2,1,1,2,0,0,0,0,2,3,2,2,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,16,7,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,16,0,0,0,3,0,0,0,1,1,9,2,0,0,0
"InChI=1S/C15H11N3O3/c19-15-14(16-12-6-1-2-7-13(12)17-15)9-10-4-3-5-11(8-10)18(20)21/h1-8H,9H2,(H,17,19)",1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,2,3,5,2,2,2,2,2,0,0,0,0,0,0,0,2,0,2,1,1,2,0,0,3,1,2,3,3,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,16,11,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,16,0,0,0,3,0,0,0,1,0,11,2,0,0,0
"InChI=1S/C15H11N3O3/c19-15-10-14(11-5-2-1-3-6-11)16-17(15)12-7-4-8-13(9-12)18(20)21/h1-10,16H",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,3,0,1,0,0,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,3,6,2,2,4,3,4,0,0,0,0,0,1,0,0,2,2,1,1,2,0,0,0,1,2,3,3,2,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,2,0,17,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,17,0,0,1,2,0,0,0,0,2,17,0,0,0,0
"InChI=1S/C15H11N3O3/c19-15-9-13(10-4-2-1-3-5-10)16-14-8-11(18(20)21)6-7-12(14)17-15/h1-8H,9H2,(H,17,19)",1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,1,2,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,2,3,5,4,6,2,1,0,0,0,0,0,0,0,0,1,2,2,1,0,2,0,0,6,0,2,3,2,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,3,2,0,12,12,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,2,1,0,0,0,1,13,2,0,0,0
"InChI=1S/C15H11N3O3/c19-15-9-13(10-4-2-1-3-5-10)16-12-7-6-11(18(20)21)8-14(12)17-15/h1-8H,9H2,(H,17,19)",1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,1,2,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,2,3,5,4,6,2,1,0,0,0,0,0,0,0,0,1,2,2,1,0,2,0,0,6,0,2,3,2,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,3,2,0,12,12,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,2,1,0,0,0,1,13,2,0,0,0
"InChI=1S/C15H11N3O3/c1-10-13-7-2-3-8-14(13)15(19)17(16-10)11-5-4-6-12(9-11)18(20)21/h2-9H,1H3",1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,3,5,2,2,4,2,2,0,0,0,0,0,1,0,0,1,2,1,1,2,0,0,0,0,2,3,3,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,16,7,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,16,0,0,0,3,0,0,0,1,1,10,2,0,0,0
"InChI=1S/C15H11N3O3/c19-15-13-8-12(18(20)21)6-7-14(13)16-10-17(15)9-11-4-2-1-3-5-11/h1-8,10H,9H2",1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,2,3,7,2,2,2,2,2,0,0,0,0,0,0,1,0,1,2,1,0,2,0,3,0,0,2,3,3,2,0,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,2,0,16,11,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,16,0,0,0,3,0,0,0,1,0,11,2,0,0,0
"InChI=1S/C15H11N3O3/c19-15(13-6-1-3-10-7-8-16-14(10)13)17-11-4-2-5-12(9-11)18(20)21/h1-9,16H,(H,17,19)",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,2,1,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,3,5,3,4,4,2,2,0,0,0,0,0,0,0,0,2,2,1,0,2,0,0,0,1,1,3,2,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,15,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,15,0,0,1,2,0,0,0,0,0,11,2,0,0,0
"InChI=1S/C15H11N3O3/c19-15-10-14(11-6-8-13(9-7-11)18(20)21)16-17(15)12-4-2-1-3-5-12/h1-10,16H",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,3,0,1,0,0,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,3,6,2,2,4,3,4,0,0,0,0,0,1,0,0,1,2,1,1,2,0,0,0,1,2,3,3,2,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,2,0,17,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,17,0,0,1,2,0,0,0,0,2,17,0,0,0,0
